
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Secure System                  236 Services                   0     64,360 K
Registry                       280 Services                   0     56,240 K
smss.exe                       876 Services                   0        648 K
csrss.exe                     1344 Services                   0      3,372 K
wininit.exe                   1492 Services                   0      2,120 K
services.exe                  1616 Services                   0      9,772 K
LsaIso.exe                    1660 Services                   0      1,828 K
lsass.exe                     1668 Services                   0     25,496 K
svchost.exe                   1800 Services                   0     35,960 K
fontdrvhost.exe               1828 Services                   0        864 K
svchost.exe                   1932 Services                   0     17,664 K
svchost.exe                   1988 Services                   0      6,892 K
svchost.exe                   1312 Services                   0      1,600 K
svchost.exe                   1740 Services                   0      8,852 K
svchost.exe                   2068 Services                   0      8,004 K
svchost.exe                   2076 Services                   0      6,420 K
svchost.exe                   2120 Services                   0      7,484 K
svchost.exe                   2128 Services                   0     11,732 K
svchost.exe                   2220 Services                   0      6,744 K
svchost.exe                   2228 Services                   0      5,600 K
svchost.exe                   2236 Services                   0      6,184 K
svchost.exe                   2244 Services                   0      2,892 K
svchost.exe                   2392 Services                   0     18,040 K
svchost.exe                   2500 Services                   0     11,644 K
svchost.exe                   2572 Services                   0      5,388 K
svchost.exe                   2820 Services                   0      8,956 K
svchost.exe                   2092 Services                   0      4,728 K
svchost.exe                   3128 Services                   0      4,472 K
amdfendrsr.exe                3200 Services                   0      2,768 K
atiesrxx.exe                  3208 Services                   0      2,812 K
svchost.exe                   3216 Services                   0     20,128 K
svchost.exe                   3232 Services                   0     36,564 K
svchost.exe                   3544 Services                   0      8,780 K
svchost.exe                   3552 Services                   0      5,688 K
svchost.exe                   3560 Services                   0      1,920 K
Memory Compression            3652 Services                   0     77,008 K
svchost.exe                   3708 Services                   0      7,160 K
svchost.exe                   3736 Services                   0      3,880 K
svchost.exe                   3744 Services                   0      4,200 K
svchost.exe                   3832 Services                   0     11,956 K
svchost.exe                   3868 Services                   0      4,560 K
svchost.exe                   3324 Services                   0      4,580 K
svchost.exe                   3432 Services                   0      6,440 K
svchost.exe                   3780 Services                   0     14,728 K
svchost.exe                   4124 Services                   0      6,780 K
spoolsv.exe                   4324 Services                   0      7,248 K
svchost.exe                   4408 Services                   0     20,024 K
svchost.exe                   4448 Services                   0     15,032 K
svchost.exe                   4508 Services                   0      6,736 K
NgcIso.exe                    4556 Services                   0      3,104 K
svchost.exe                   4576 Services                   0      3,408 K
svchost.exe                   4584 Services                   0      2,116 K
svchost.exe                   4732 Services                   0      1,588 K
svchost.exe                   4820 Services                   0      2,956 K
GameInputRedistService.ex     4828 Services                   0      3,320 K
DCHUService.exe               4836 Services                   0     26,332 K
svchost.exe                   4844 Services                   0     39,504 K
svchost.exe                   4860 Services                   0     40,860 K
servicehost.exe               4872 Services                   0     28,936 K
svchost.exe                   4884 Services                   0      8,448 K
SafeExamBrowser.Service.e     4908 Services                   0      4,188 K
SMSvcHost.exe                 4916 Services                   0      2,060 K
mc-fw-host.exe                4924 Services                   0     89,424 K
RtkAudUService64.exe          4936 Services                   0      5,448 K
svchost.exe                   4944 Services                   0      3,208 K
NahimicService.exe            4952 Services                   0      8,836 K
svchost.exe                   4968 Services                   0     16,304 K
svchost.exe                   4976 Services                   0      1,192 K
svchost.exe                   4984 Services                   0     15,096 K
mysqld.exe                    5020 Services                   0      7,632 K
RtkBtManServ.exe              5028 Services                   0      2,400 K
wslservice.exe                5052 Services                   0      8,296 K
svchost.exe                   5780 Services                   0      3,920 K
SMSvcHost.exe                 5904 Services                   0     14,172 K
mysqld.exe                    6072 Services                   0     11,108 K
svchost.exe                   6092 Services                   0      4,704 K
conhost.exe                   6216 Services                   0      1,424 K
svchost.exe                   8696 Services                   0     17,916 K
gamingservicesnet.exe         8768 Services                   0      3,644 K
gamingservices.exe            8776 Services                   0     23,820 K
svchost.exe                   8784 Services                   0      2,320 K
AggregatorHost.exe            1036 Services                   0      3,688 K
svchost.exe                   8416 Services                   0      5,508 K
svchost.exe                   8964 Services                   0      1,500 K
svchost.exe                   2040 Services                   0      9,308 K
